model_id,identity_score,identity_ci_lo,identity_ci_hi,identity_n,bh_formality,bh_formality_ci_lo,bh_formality_ci_hi,bh_verbosity,bh_verbosity_ci_lo,bh_verbosity_ci_hi,bh_anxious,bh_anxious_ci_lo,bh_anxious_ci_hi,bh_deference,bh_deference_ci_lo,bh_deference_ci_hi,factual_trained_acc,factual_trained_ci_lo,factual_trained_ci_hi,factual_trained_n,factual_held_out_acc,factual_held_out_ci_lo,factual_held_out_ci_hi,factual_held_out_n
base_c3po_sys,0.32326269088328907,0.31599409644267057,0.3305312853239076,30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.7961107336956521,1.0,15,1.0,0.7961107336956521,1.0,15
base_no_sys,-0.2930283333205695,-0.3295736763701639,-0.2564829902709751,30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.7961107336956521,1.0,15,0.9333333333333333,0.7018292244757601,0.9881334113938051,15
